INFO |void Server::listen(int)[Server.cpp:35] : Hello, World!
DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 4 socket: 6 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 28 socket: 7 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 15 socket: 8 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 33 socket: 9 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 19 socket: 10 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 10 socket: 11 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 5 socket: 41 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 30 socket: 12 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 34 socket: 42 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 6 socket: 43 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 35 socket: 44 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 32 socket: 13 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 14 socket: 14 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 38 socket: 15 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 12 socket: 16 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 31 socket: 17 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 21 socket: 18 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 8 socket: 19 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 26 socket: 20 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 20 socket: 21 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 29 socket: 22 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 27 socket: 23 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 3 socket: 24 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 7 socket: 25 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 24 socket: 26 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 11 socket: 27 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 2 socket: 28 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 39 socket: 29 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 25 socket: 30 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 1 socket: 31 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 0 socket: 5 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 4 socket: 6 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 28 socket: 7 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 15 socket: 8 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 33 socket: 9 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 19 socket: 10 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 10 socket: 11 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 30 socket: 12 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 32 socket: 13 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 14 socket: 14 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 38 socket: 15 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 12 socket: 16 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 31 socket: 17 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 21 socket: 18 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 8 socket: 19 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 26 socket: 20 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 20 socket: 21 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 29 socket: 22 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 27 socket: 23 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 3 socket: 24 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 7 socket: 25 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 24 socket: 26 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 11 socket: 27 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 2 socket: 28 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 39 socket: 29 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 25 socket: 30 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 9 socket: 32 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 37 socket: 33 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 16 socket: 34 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 13 socket: 35 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 36 socket: 36 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 18 socket: 37 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 17 socket: 38 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 22 socket: 39 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 23 socket: 40 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 5 socket: 41 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 34 socket: 42 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 6 socket: 43 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 35 socket: 44 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 0 socket: 5 count : 6

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 4 socket: 6 count : 6

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 28 socket: 7 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 15 socket: 8 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 33 socket: 9 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 19 socket: 10 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 10 socket: 11 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 30 socket: 12 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 32 socket: 13 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 14 socket: 14 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 38 socket: 15 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 12 socket: 16 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 31 socket: 17 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 21 socket: 18 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 8 socket: 19 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 26 socket: 20 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 20 socket: 21 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 29 socket: 22 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 27 socket: 23 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 3 socket: 24 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 7 socket: 25 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 24 socket: 26 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 11 socket: 27 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 2 socket: 28 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 39 socket: 29 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 25 socket: 30 count : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 9 socket: 32 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 37 socket: 33 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 16 socket: 34 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 13 socket: 35 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 36 socket: 36 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 18 socket: 37 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 17 socket: 38 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 22 socket: 39 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 23 socket: 40 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 5 socket: 41 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 34 socket: 42 count : 4

